"Observer"	"Subject"	"Type"	"value"	"PrimeType"	"Estimate"	"Task"
"Present"	1	"Black_C"	0.145833333333333	"Black"	"C"	"WIT"
"Absent"	2	"Black_C"	0.479166666666667	"Black"	"C"	"WIT"
"Present"	3	"Black_C"	0.1875	"Black"	"C"	"WIT"
"Present"	5	"Black_C"	0.0416666666666667	"Black"	"C"	"WIT"
"Absent"	6	"Black_C"	0.208333333333333	"Black"	"C"	"WIT"
"Absent"	8	"Black_C"	0.0625	"Black"	"C"	"WIT"
"Absent"	10	"Black_C"	0.5625	"Black"	"C"	"WIT"
"Present"	11	"Black_C"	0.375	"Black"	"C"	"WIT"
"Absent"	12	"Black_C"	0.25	"Black"	"C"	"WIT"
"Present"	13	"Black_C"	0.645833333333333	"Black"	"C"	"WIT"
"Absent"	14	"Black_C"	0.375	"Black"	"C"	"WIT"
"Absent"	16	"Black_C"	0.479166666666667	"Black"	"C"	"WIT"
"Present"	17	"Black_C"	0.0833333333333334	"Black"	"C"	"WIT"
"Absent"	18	"Black_C"	-0.0208333333333334	"Black"	"C"	"WIT"
"Present"	19	"Black_C"	0.666666666666667	"Black"	"C"	"WIT"
"Absent"	20	"Black_C"	0.666666666666667	"Black"	"C"	"WIT"
"Present"	21	"Black_C"	0.625	"Black"	"C"	"WIT"
"Absent"	22	"Black_C"	0.229166666666667	"Black"	"C"	"WIT"
"Present"	23	"Black_C"	0.645833333333333	"Black"	"C"	"WIT"
"Absent"	24	"Black_C"	0.645833333333333	"Black"	"C"	"WIT"
"Present"	25	"Black_C"	0.229166666666667	"Black"	"C"	"WIT"
"Absent"	26	"Black_C"	0.416666666666667	"Black"	"C"	"WIT"
"Present"	27	"Black_C"	0.604166666666667	"Black"	"C"	"WIT"
"Present"	29	"Black_C"	0.229166666666667	"Black"	"C"	"WIT"
"Absent"	30	"Black_C"	0.75	"Black"	"C"	"WIT"
"Present"	31	"Black_C"	-0.0625	"Black"	"C"	"WIT"
"Absent"	32	"Black_C"	0.0625	"Black"	"C"	"WIT"
"Present"	33	"Black_C"	0.625	"Black"	"C"	"WIT"
"Absent"	34	"Black_C"	0.166666666666667	"Black"	"C"	"WIT"
"Present"	35	"Black_C"	0.208333333333333	"Black"	"C"	"WIT"
"Present"	37	"Black_C"	0.3125	"Black"	"C"	"WIT"
"Absent"	38	"Black_C"	0.8125	"Black"	"C"	"WIT"
"Absent"	40	"Black_C"	-0.0208333333333334	"Black"	"C"	"WIT"
"Present"	41	"Black_C"	0.458333333333333	"Black"	"C"	"WIT"
"Absent"	42	"Black_C"	0.0208333333333334	"Black"	"C"	"WIT"
"Present"	43	"Black_C"	0.666666666666667	"Black"	"C"	"WIT"
"Absent"	44	"Black_C"	0.75	"Black"	"C"	"WIT"
"Present"	45	"Black_C"	0.416666666666667	"Black"	"C"	"WIT"
"Absent"	46	"Black_C"	0.604166666666667	"Black"	"C"	"WIT"
"Present"	47	"Black_C"	0.375	"Black"	"C"	"WIT"
"Absent"	48	"Black_C"	0.291666666666667	"Black"	"C"	"WIT"
